UserID,Name,Surname,Email,Gender,Race,Age,AgeGroup,Province,Socials,Channel2,RecordDate2,TimeBucket,Duration
65180,None,None,Meghann363@mail.com,None,None,0,Kids,None,None,Africa Magic,2016-01-22 09:35:00.000000,Morning,17
65192,None,None,Meghann405@mailxyz.com,None,None,0,Kids,None,None,DStv Events 1,2016-01-20 00:05:00.000000,Morning,45
67073,None,None,Lillian221@yahoo.com,None,None,0,Kids,None,None,Channel O,2016-01-04 10:23:00.000000,Morning,9
67155,None,None,Winona134@abcmail.com,None,None,0,Kids,None,None,SuperSport Blitz,2016-01-10 11:37:00.000000,Morning,14
67584,Hollis,Caves,Hollis383@mail.com,male,white,58,Seniors,Western Cape,@Hollis38,Supersport Live Events,2016-01-18 15:04:00.000000,Afternoon,358
69030,Stacy,Tancredi,Stacy275@mailxyz.com,male,black,37,Adults,Free State,@Stacy27,Supersport Live Events,2016-03-06 13:32:00.000000,Afternoon,198
69455,Yong,Restivo,Yong483@mail.com,male,white,35,Young Adults,Western Cape,@Yong48,Supersport Live Events,2016-03-26 16:36:00.000000,Afternoon,184
69707,Samuel,Pascarella,Samuel264@abcmail.com,male,indian_asian,34,Young Adults,Kwazulu Natal,@Samuel26,SuperSport Blitz,2016-03-19 22:13:00.000000,Evening,110
69889,Hugh,Sytsma,Hugh11@yahoo.com,male,coloured,33,Young Adults,Western Cape,@Hugh1,Boomerang,2016-03-06 17:54:00.000000,Afternoon,283
71491,Filiberto,Mastrangelo,Filiberto45@mailxyz.com,male,other,25,Young Adults,Gauteng,@Filiberto4,Trace TV,2016-03-26 07:02:00.000000,Morning,6
72316,Teresia,Beville,Teresia201@yahoo.com,female,coloured,9,Kids,Mpumalanga,@Teresia20,Supersport Live Events,2016-01-18 17:43:00.000000,Afternoon,1998
80147,None,None,Cordie474@abcmail.com,None,None,0,Kids,None,None,Supersport Live Events,2016-03-26 10:14:00.000000,Morning,30
82389,None,None,Sharri332@gmail.com,None,None,0,Kids,None,None,DStv Events 1,2016-01-08 11:33:00.000000,Morning,570
82694,None,None,Rebecka275@mailxyz.com,None,None,0,Kids,None,None,SuperSport Blitz,2016-03-30 18:42:00.000000,Evening,112
82780,None,None,Gretta45@mailxyz.com,None,None,0,Kids,None,None,Channel O,2016-03-26 06:54:00.000000,Morning,633
83865,None,None,Bess134@abcmail.com,None,None,0,Kids,None,None,kykNET,2016-01-18 18:23:00.000000,Evening,84
85476,Briana,Caves,Briana402@gmail.com,female,black,34,Young Adults,Kwazulu Natal,@Briana40,Africa Magic,2016-01-02 14:48:00.000000,Afternoon,126
85945,Emerson,Sytsma,Emerson244@abcmail.com,male,white,30,Young Adults,Gauteng,@Emerson24,E! Entertainment,2016-01-02 01:18:00.000000,Morning,1534
86003,Randy,Leicht,Randy392@gmail.com,male,black,30,Young Adults,Gauteng,@Randy39,Supersport Live Events,2016-01-08 14:51:00.000000,Afternoon,52
86582,Royal,Restivo,Royal174@abcmail.com,male,black,25,Young Adults,Limpopo,@Royal17,Channel O,2016-01-26 17:29:00.000000,Afternoon,2268
87234,None,None,Trudie473@mail.com,None,None,0,Kids,None,None,Channel O,2016-01-15 07:44:00.000000,Morning,66
91694,Irving,Luthy,Irving52@gmail.com,male,coloured,41,Adults,Gauteng,@Irving5,Africa Magic,2016-01-22 07:39:00.000000,Morning,14
98046,Donald,Zweifel,Donald223@mail.com,male,black,31,Young Adults,Kwazulu Natal,@Donald22,Channel O,2016-01-13 18:36:00.000000,Evening,168
99045,Earl,Shkreli,Earl422@gmail.com,male,other,18,Young Adults,Limpopo,@Earl42,Trace TV,2016-01-01 19:24:00.000000,Evening,159
100538,None,None,Epifania75@mailxyz.com,None,None,0,Kids,None,None,Supersport Live Events,2016-03-24 14:25:00.000000,Afternoon,5550
102190,Haywood,Sieren,Haywood94@abcmail.com,male,white,42,Adults,Gauteng,@Haywood9,ICC Cricket World Cup 2011,2016-03-25 15:40:00.000000,Afternoon,160
103451,Roxane,Lavoie,Roxane111@yahoo.com,female,black,27,Young Adults,Gauteng,@Roxane11,E! Entertainment,2016-01-16 15:26:00.000000,Afternoon,448
103657,Romeo,Tatham,Romeo372@gmail.com,male,white,24,Young Adults,Mpumalanga,@Romeo37,M-Net,2016-03-19 17:11:00.000000,Afternoon,178
104516,None,None,Felipa325@mailxyz.com,None,None,0,Kids,None,None,CNN,2016-03-26 05:48:00.000000,Morning,69
115255,Yong,Jacox,Yong481@yahoo.com,male,black,40,Adults,Kwazulu Natal,@Yong48,Africa Magic,2016-01-28 17:53:00.000000,Afternoon,4
115518,Bret,Jacox,Bret315@mailxyz.com,male,black,36,Adults,Gauteng,@Bret31,E! Entertainment,2016-03-05 17:41:00.000000,Afternoon,108
117954,None,None,Reagan491@yahoo.com,None,None,0,Kids,None,None,ICC Cricket World Cup 2011,2016-03-05 09:15:00.000000,Morning,60
119673,Lillian,Borelli,Lillian472@gmail.com,female,white,38,Adults,Kwazulu Natal,@Lillian47,Cartoon Network,2016-01-15 08:13:00.000000,Morning,649
120169,Katharina,Condie,Katharina215@mailxyz.com,female,black,30,Young Adults,Gauteng,@Katharina21,Africa Magic,2016-01-08 15:32:00.000000,Afternoon,118
120870,Earl,Jacox,Earl424@abcmail.com,male,white,18,Young Adults,Mpumalanga,@Earl42,Cartoon Network,2016-01-27 15:05:00.000000,Afternoon,7
122451,None,None,Mellie363@mail.com,None,None,0,Kids,None,None,Channel O,2016-01-20 13:06:00.000000,Afternoon,12
131449,None,None,Loris354@abcmail.com,None,None,0,Kids,None,None,CNN,2016-01-15 15:55:00.000000,Afternoon,340
134526,None,None,Bess204@abcmail.com,None,None,0,Kids,None,None,Vuzu,2016-01-07 11:03:00.000000,Morning,1
135780,Wilburn,Bilyeu,Wilburn302@gmail.com,male,black,47,Adults,Kwazulu Natal,@Wilburn30,Supersport Live Events,2016-01-15 17:57:00.000000,Afternoon,82
140005,Hyman,Martello,Hyman85@mailxyz.com,male,coloured,29,Young Adults,Eastern Cape,@Hyman8,Break in transmission,2016-03-01 19:31:00.000000,Evening,10
147935,None,None,Eula281@yahoo.com,None,None,0,Kids,None,None,Boomerang,2016-01-11 07:44:00.000000,Morning,262
150729,Wilburn,Singer,Wilburn305@mailxyz.com,male,white,22,Young Adults,Mpumalanga,@Wilburn30,ICC Cricket World Cup 2011,2016-03-15 09:50:00.000000,Morning,152
150741,Eula,Mccown,Eula294@abcmail.com,female,black,22,Young Adults,Gauteng,@Eula29,Africa Magic,2016-01-20 07:47:00.000000,Morning,621
152716,None,None,Irmgard81@yahoo.com,None,None,0,Kids,None,None,E! Entertainment,2016-01-25 07:26:00.000000,Morning,202
159026,Iva,Styer,Iva213@mail.com,female,coloured,18,Young Adults,Gauteng,@Iva21,Supersport Live Events,2016-03-06 12:58:00.000000,Afternoon,130
159156,None,None,Zetta73@mail.com,None,None,0,Kids,None,None,Cartoon Network,2016-03-06 10:17:00.000000,Morning,21
162361,Hugh,Caves,Hugh15@mailxyz.com,male,black,33,Young Adults,Gauteng,@Hugh1,M-Net,2016-01-11 18:02:00.000000,Evening,132
162937,Brendan,Luthy,Brendan454@abcmail.com,male,white,24,Young Adults,Gauteng,@Brendan45,E! Entertainment,2016-01-23 16:25:00.000000,Afternoon,170
163109,Haywood,Lavoie,Haywood93@mail.com,male,None,21,Young Adults,Western Cape,@Haywood9,Cartoon Network,2016-03-29 18:13:00.000000,Evening,60
170792,Emerson,Tancredi,Emerson243@mail.com,male,black,31,Young Adults,Gauteng,@Emerson24,Channel O,2016-03-29 03:02:00.000000,Morning,0
173765,None,None,Tiffani292@gmail.com,None,None,0,Kids,None,None,Trace TV,2016-01-08 07:29:00.000000,Morning,63
177269,None,None,Shelley31@yahoo.com,None,None,0,Kids,None,None,M-Net,2016-01-09 08:25:00.000000,Morning,190
178022,Len,Mina,Len443@mail.com,male,white,54,Seniors,Mpumalanga,@Len44,ICC Cricket World Cup 2011,2016-03-29 12:51:00.000000,Afternoon,282
178813,Yong,Gettys,Yong484@abcmail.com,male,coloured,33,Young Adults,Gauteng,@Yong48,Supersport Live Events,2016-01-15 08:40:00.000000,Morning,64
178992,Krysta,Mastrangelo,Krysta373@mail.com,female,indian_asian,30,Young Adults,Limpopo,@Krysta37,Cartoon Network,2016-01-06 20:01:00.000000,Evening,59
182630,None,None,Felipa484@abcmail.com,None,None,0,Kids,None,None,Trace TV,2016-03-27 21:29:00.000000,Evening,78
183425,Wilburn,Jacox,Wilburn304@abcmail.com,male,black,35,Young Adults,Mpumalanga,@Wilburn30,Africa Magic,2016-01-02 09:57:00.000000,Morning,54
183982,Bess,Jacox,Bess151@yahoo.com,female,black,27,Young Adults,Gauteng,@Bess15,Africa Magic,2016-01-26 16:46:00.000000,Afternoon,29
187786,Iva,Styer,Iva265@mailxyz.com,female,white,37,Adults,Kwazulu Natal,@Iva26,Supersport Live Events,2016-01-05 14:48:00.000000,Afternoon,48
189027,Earl,Paradis,Earl422@gmail.com,male,coloured,13,Teens,Free State,@Earl42,Trace TV,2016-03-29 17:17:00.000000,Afternoon,198
189392,None,None,Iva25@mailxyz.com,None,None,0,Kids,None,None,Trace TV,2016-03-29 17:06:00.000000,Afternoon,72
190586,None,None,Lesli111@yahoo.com,None,None,0,Kids,None,None,Boomerang,2016-01-17 17:07:00.000000,Afternoon,17
193886,None,None,Anette214@abcmail.com,None,None,0,Kids,None,None,ICC Cricket World Cup 2011,2016-03-30 08:03:00.000000,Morning,12
196084,Bernardo,Langenfeld,Bernardo321@yahoo.com,male,coloured,43,Adults,Northern Cape,@Bernardo32,M-Net,2016-01-04 03:42:00.000000,Morning,352
199852,None,None,Alecia502@gmail.com,None,None,0,Kids,None,None,kykNET,2016-01-04 08:37:00.000000,Morning,93
202019,Irving,Creager,Irving55@mailxyz.com,male,indian_asian,25,Young Adults,Western Cape,@Irving5,ICC Cricket World Cup 2011,2016-03-30 08:59:00.000000,Morning,256
206207,Markus,Sieren,Markus191@yahoo.com,male,indian_asian,27,Young Adults,Gauteng,@Markus19,E! Entertainment,2016-03-30 13:18:00.000000,Afternoon,28
210187,Wilburn,Lavoie,Wilburn303@mail.com,male,black,31,Young Adults,North West,@Wilburn30,Africa Magic,2016-01-22 19:52:00.000000,Evening,35
211993,None,None,Gretta195@mailxyz.com,None,None,0,Kids,None,None,CNN,2016-02-24 06:08:00.000000,Morning,23
212439,None,None,Torrie412@gmail.com,None,None,0,Kids,None,None,Boomerang,2016-03-04 23:12:00.000000,Night,867
220052,Emilie,Deblois,Emilie444@abcmail.com,female,white,22,Young Adults,Northern Cape,@Emilie44,Boomerang,2016-03-25 12:51:00.000000,Afternoon,1004
220098,Romeo,Singer,Romeo373@mail.com,male,white,21,Young Adults,Eastern Cape,@Romeo37,E! Entertainment,2016-03-31 09:28:00.000000,Morning,40
221281,None,None,Desirae61@yahoo.com,None,None,0,Kids,None,None,Trace TV,2016-01-27 10:57:00.000000,Morning,42
223263,Hugh,Leicht,Hugh13@mail.com,male,white,54,Seniors,Limpopo,@Hugh1,Cartoon Network,2016-01-30 18:01:00.000000,Evening,17
229151,Lane,Mcclaine,Lane113@mail.com,male,black,25,Young Adults,Gauteng,@Lane11,Cartoon Network,2016-01-27 09:34:00.000000,Morning,23
233448,Luanna,Hoadley,Luanna435@mailxyz.com,female,coloured,30,Young Adults,Eastern Cape,@Luanna43,Cartoon Network,2016-01-16 11:42:00.000000,Morning,332
237510,Earline,Zweifel,Earline282@gmail.com,female,black,42,Adults,Gauteng,@Earline28,Supersport Live Events,2016-01-09 14:52:00.000000,Afternoon,44
241871,Claud,Creager,Claud345@mailxyz.com,male,white,39,Adults,Gauteng,@Claud34,Trace TV,2016-01-25 15:52:00.000000,Afternoon,2802
243824,None,None,Desirae232@gmail.com,None,None,0,Kids,None,None,Africa Magic,2016-01-29 17:53:00.000000,Afternoon,59
246335,Raymundo,Pascarella,Raymundo433@mail.com,male,coloured,32,Young Adults,Western Cape,@Raymundo43,SuperSport Blitz,2016-01-07 21:08:00.000000,Evening,532
252969,Royal,Arrieta,Royal171@yahoo.com,male,coloured,18,Young Adults,Eastern Cape,@Royal17,Trace TV,2016-01-15 14:51:00.000000,Afternoon,54
257303,Jacinto,Zweifel,Jacinto251@yahoo.com,male,coloured,25,Young Adults,Western Cape,@Jacinto25,Supersport Live Events,2016-01-09 14:26:00.000000,Afternoon,112
257502,Gretta,Mosser,Gretta481@yahoo.com,female,black,22,Young Adults,Limpopo,@Gretta48,Trace TV,2016-03-28 17:44:00.000000,Afternoon,168
264705,Dia,Arrieta,Dia334@abcmail.com,female,black,37,Adults,Mpumalanga,@Dia33,Africa Magic,2016-03-28 19:32:00.000000,Evening,166
266766,Krysta,Mastrangelo,Krysta452@gmail.com,female,black,29,Young Adults,Gauteng,@Krysta45,Africa Magic,2016-01-30 22:06:00.000000,Evening,521
266792,Claud,Mcclaine,Claud344@abcmail.com,male,coloured,28,Young Adults,Gauteng,@Claud34,ICC Cricket World Cup 2011,2016-03-03 06:34:00.000000,Morning,118
268737,Wilburn,Mccown,Wilburn305@mailxyz.com,male,black,23,Young Adults,Gauteng,@Wilburn30,Supersport Live Events,2016-01-10 20:15:00.000000,Evening,96
273196,None,None,Blanca471@yahoo.com,None,None,0,Kids,None,None,E! Entertainment,2016-03-25 07:19:00.000000,Morning,46
273648,None,None,Zetta132@gmail.com,None,None,0,Kids,None,None,Africa Magic,2016-03-29 07:02:00.000000,Morning,234
273732,None,None,Irmgard395@mailxyz.com,None,None,0,Kids,None,None,SawSee,2016-03-30 17:10:00.000000,Afternoon,9
279464,None,None,Eula392@gmail.com,None,None,0,Kids,None,None,SuperSport Blitz,2016-03-29 20:38:00.000000,Evening,64
283746,None,None,Iva325@mailxyz.com,None,None,0,Kids,None,None,ICC Cricket World Cup 2011,2016-03-25 14:16:00.000000,Afternoon,0
283970,None,None,Alissa282@gmail.com,None,None,0,Kids,None,None,Supersport Live Events,2016-03-19 15:46:00.000000,Afternoon,268
294092,None,None,Lillian141@yahoo.com,None,None,0,Kids,None,None,Cartoon Network,2016-01-14 16:14:00.000000,Afternoon,54
301011,Robby,Caves,Robby162@gmail.com,male,black,47,Adults,North West,@Robby16,SuperSport Blitz,2016-01-08 17:03:00.000000,Afternoon,68
302333,Mellie,Creager,Mellie145@mailxyz.com,female,black,22,Young Adults,Gauteng,@Mellie14,Trace TV,2016-01-04 06:04:00.000000,Morning,9
303194,None,None,Meghann242@gmail.com,None,None,0,Kids,None,None,SuperSport Blitz,2016-01-08 18:19:00.000000,Evening,244
304208,None,None,Shandra12@gmail.com,None,None,0,Kids,None,None,SuperSport Blitz,2016-03-26 17:18:00.000000,Afternoon,74
304349,Valentine,Mcclaine,Valentine475@mailxyz.com,male,None,0,Kids,None,@Valentine47,Trace TV,2016-01-16 21:03:00.000000,Evening,321
304977,Desirae,Luthy,Desirae455@mailxyz.com,female,black,45,Adults,Free State,@Desirae45,Trace TV,2016-01-06 03:41:00.000000,Morning,60
305730,Mellie,Creager,Mellie32@gmail.com,female,black,30,Young Adults,Kwazulu Natal,@Mellie3,Boomerang,2016-01-05 12:24:00.000000,Afternoon,976
320909,Valentine,Mosser,Valentine472@gmail.com,male,other,36,Adults,Western Cape,@Valentine47,Boomerang,2016-01-04 12:39:00.000000,Afternoon,72
325546,Cody,Slane,Cody124@abcmail.com,male,black,26,Young Adults,Mpumalanga,@Cody12,SawSee,2016-01-06 20:03:00.000000,Evening,29
332788,Art,Shkreli,Art403@mail.com,male,None,38,Adults,Gauteng,@Art40,kykNET,2016-01-18 21:55:00.000000,Evening,15
334955,None,None,Luanna161@yahoo.com,None,None,0,Kids,None,None,SawSee,2016-03-06 12:27:00.000000,Afternoon,5
341651,Haywood,Tatham,Haywood92@gmail.com,male,white,16,Teens,Western Cape,@Haywood9,Cartoon Network,2016-01-02 08:04:00.000000,Morning,5
349851,None,None,Felipa391@yahoo.com,None,None,0,Kids,None,None,SawSee,2016-03-26 21:04:00.000000,Evening,91
366496,Alissa,Woolard,Alissa143@mail.com,female,black,18,Young Adults,Gauteng,@Alissa14,Trace TV,2016-01-02 15:11:00.000000,Afternoon,558
366659,None,None,Yolonda164@abcmail.com,None,None,0,Kids,None,None,Supersport Live Events,2016-03-19 17:26:00.000000,Afternoon,2696
370331,Epifania,Crotty,Epifania65@mailxyz.com,female,white,39,Adults,Gauteng,@Epifania6,ICC Cricket World Cup 2011,2016-02-24 10:10:00.000000,Morning,220
370637,Valentine,Martello,Valentine472@gmail.com,male,coloured,34,Young Adults,Western Cape,@Valentine47,Supersport Live Events,2016-01-18 13:58:00.000000,Afternoon,1866
371772,Nubia,Sytsma,Nubia45@mailxyz.com,female,indian_asian,9,Kids,Eastern Cape,@Nubia4,Channel O,2016-01-09 15:38:00.000000,Afternoon,0
375502,Markus,Condie,Markus194@abcmail.com,male,indian_asian,26,Young Adults,Limpopo,@Markus19,Boomerang,2016-02-18 04:25:00.000000,Morning,4
375711,Dee,Curran,Dee215@mailxyz.com,male,white,23,Young Adults,Gauteng,@Dee21,Trace TV,2016-01-08 11:27:00.000000,Morning,114
378123,None,None,Gretta281@yahoo.com,None,None,0,Kids,None,None,Boomerang,2016-01-03 08:13:00.000000,Morning,49
390286,Lloyd,Mccown,Lloyd74@abcmail.com,male,None,25,Young Adults,Kwazulu Natal,@Lloyd7,Supersport Live Events,2016-01-04 23:16:00.000000,Night,8
390361,Minerva,Marek,Minerva205@mailxyz.com,female,coloured,24,Young Adults,Gauteng,@Minerva20,Channel O,2016-02-18 00:36:00.000000,Morning,42
393552,Garry,Hoadley,Garry281@yahoo.com,male,coloured,33,Young Adults,Western Cape,@Garry28,Supersport Live Events,2016-01-29 19:06:00.000000,Evening,2926
394624,Emerson,Pilot,Emerson241@yahoo.com,male,white,13,Teens,Mpumalanga,@Emerson24,Boomerang,2016-03-07 05:21:00.000000,Morning,211
397995,Samuel,Mina,Samuel263@mail.com,male,black,25,Young Adults,Gauteng,@Samuel26,Vuzu,2016-01-23 22:33:00.000000,Evening,25
404205,Wilton,Leicht,Wilton413@mail.com,male,black,45,Adults,Kwazulu Natal,@Wilton41,Supersport Live Events,2016-01-09 15:34:00.000000,Afternoon,3894
411036,Eula,Mccown,Eula395@mailxyz.com,female,white,27,Young Adults,Western Cape,@Eula39,Supersport Live Events,2016-01-06 12:09:00.000000,Afternoon,16
411548,Shane,Roquemore,Shane21@yahoo.com,male,black,15,Teens,Kwazulu Natal,@Shane2,Cartoon Network,2016-01-03 05:29:00.000000,Morning,47
412331,None,None,Iva141@yahoo.com,None,None,0,Kids,None,None,E! Entertainment,2016-01-04 18:31:00.000000,Evening,42
422095,None,None,Briana302@gmail.com,None,None,0,Kids,None,None,ICC Cricket World Cup 2011,2016-03-30 14:24:00.000000,Afternoon,24
426407,Irving,Jacox,Irving52@gmail.com,male,None,27,Young Adults,Western Cape,@Irving5,Supersport Live Events,2016-01-06 12:03:00.000000,Afternoon,1462
427849,None,None,Tiffani171@yahoo.com,None,None,0,Kids,None,None,Cartoon Network,2016-01-11 14:03:00.000000,Afternoon,65
432435,Cory,Woolard,Cory101@yahoo.com,male,black,53,Seniors,Kwazulu Natal,@Cory10,Supersport Live Events,2016-01-05 20:18:00.000000,Evening,2414
433262,Carter,Biggers,Carter32@gmail.com,male,black,29,Young Adults,Limpopo,@Carter3,Channel O,2016-01-21 21:26:00.000000,Evening,108
436474,Lillie,Langenfeld,Lillie114@abcmail.com,female,black,42,Adults,Gauteng,@Lillie11,Africa Magic,2016-01-08 12:46:00.000000,Afternoon,299
440632,Gretta,Mosser,Gretta334@abcmail.com,female,coloured,32,Young Adults,Western Cape,@Gretta33,SuperSport Blitz,2016-01-25 16:15:00.000000,Afternoon,122
443916,Bess,Jacox,Bess61@yahoo.com,female,white,39,Adults,Gauteng,@Bess6,SawSee,2016-01-15 03:37:00.000000,Morning,193
447555,Cory,Singer,Cory103@mail.com,male,black,38,Adults,Mpumalanga,@Cory10,Africa Magic,2016-01-09 09:25:00.000000,Morning,798
453480,None,None,Shandra473@mail.com,None,None,0,Kids,None,None,Africa Magic,2016-03-28 08:48:00.000000,Morning,44
457259,None,None,Malika264@abcmail.com,None,None,0,Kids,None,None,Channel O,2016-01-12 08:11:00.000000,Morning,1728
460303,None,None,Williemae111@yahoo.com,None,None,0,Kids,None,None,Cartoon Network,2016-01-22 16:30:00.000000,Afternoon,75
469412,Stacy,Sieren,Stacy272@gmail.com,male,None,46,Adults,Western Cape,@Stacy27,Supersport Live Events,2016-01-08 16:18:00.000000,Afternoon,142
469821,Cory,Arrieta,Cory105@mailxyz.com,male,black,36,Adults,Gauteng,@Cory10,Channel O,2016-01-10 12:43:00.000000,Afternoon,210
474745,Garry,Shkreli,Garry284@abcmail.com,male,black,18,Young Adults,Limpopo,@Garry28,Channel O,2016-01-20 13:44:00.000000,Afternoon,849
478172,Loyd,Mcculloch,Loyd492@gmail.com,male,white,26,Young Adults,North West,@Loyd49,Boomerang,2016-01-10 10:53:00.000000,Morning,183
480591,None,None,Briana271@yahoo.com,None,None,0,Kids,None,None,Supersport Live Events,2016-03-26 05:17:00.000000,Morning,484
481770,Filiberto,Hoadley,Filiberto42@gmail.com,male,indian_asian,28,Young Adults,Kwazulu Natal,@Filiberto4,Trace TV,2016-01-14 05:01:00.000000,Morning,972
483783,None,None,Luanna12@gmail.com,None,None,0,Kids,None,None,Trace TV,2016-03-30 05:16:00.000000,Morning,60
488096,Stacy,Paradis,Stacy273@mail.com,male,black,51,Seniors,Gauteng,@Stacy27,Channel O,2016-01-24 12:16:00.000000,Afternoon,222
489828,None,None,Luanna393@mail.com,None,None,0,Kids,None,None,ICC Cricket World Cup 2011,2016-03-15 10:25:00.000000,Morning,390
491723,Lloyd,Mccollum,Lloyd73@mail.com,male,coloured,51,Seniors,Western Cape,@Lloyd7,CNN,2016-02-18 20:48:00.000000,Evening,8372
491753,Desirae,Luthy,Desirae471@yahoo.com,female,white,50,Adults,Kwazulu Natal,@Desirae47,Supersport Live Events,2016-01-05 14:41:00.000000,Afternoon,4838
492769,Loyd,Wigfall,Loyd491@yahoo.com,male,black,25,Young Adults,Gauteng,@Loyd49,Channel O,2016-01-14 17:03:00.000000,Afternoon,93
492897,Samuel,Sytsma,Samuel265@mailxyz.com,male,coloured,23,Young Adults,Mpumalanga,@Samuel26,Trace TV,2016-01-18 23:01:00.000000,Night,138
496120,Hollis,Crotty,Hollis385@mailxyz.com,male,black,27,Young Adults,Free State,@Hollis38,SawSee,2016-03-04 18:38:00.000000,Evening,5
